byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,4,11187.63,9239.64,244,1.5,0.209,80,19,TAXAB,0.094,0.082,True,14143.653603,8131.35283003
50,white,5,11553.64,8755.73,210,4.0,0.162,80,19,TAXAB,0.052,0.029,True,13787.1599045,7790.32529269
50,white,6,11540.39,8871.15,203,5.0,0.197,80,19,TAXAB,0.069,0.044,True,14371.5940224,7570.68013302
50,white,7,13449.22,9062.67,176,1.5,0.153,80,19,TAXAB,0.114,0.091,True,15878.6540732,7641.46352608
50,white,8,12023.13,9620.95,213,7.0,0.15,80,19,TAXAB,0.094,0.066,True,14144.8588235,8881.76303593
50,white,9,12442.44,9715.14,220,7.0,0.177,80,19,TAXAB,0.123,0.1,True,15118.3961118,8615.48817654
50,white,10,12140.4,9331.93,236,7.0,0.195,80,19,TAXAB,0.093,0.059,True,15081.242236,7989.27203384
50,white,11,10591.37,9309.48,230,4.0,0.278,80,19,TAXAB,0.104,0.091,True,14669.4875346,7759.68398256
50,white,12,11682.09,10251.48,206,5.0,0.223,80,19,TAXAB,0.15,0.117,True,15034.8648649,9211.19460972
50,white,13,10880.23,9405.53,238,4.0,0.227,80,19,TAXAB,0.088,0.059,True,14075.3298836,8334.88693385
50,white,14,12638.73,8816.66,209,4.0,0.163,80,19,TAXAB,0.1,0.077,True,15100.0358423,7463.62853957
50,white,15,12479.97,9566.92,209,1.5,0.172,80,19,TAXAB,0.124,0.1,True,15072.4275362,8453.63641332
50,white,16,10644.7,8912.57,205,5.0,0.21,80,19,TAXAB,0.078,0.054,True,13474.3037975,7900.77871999
50,white,17,11559.72,9196.82,205,5.0,0.195,80,19,TAXAB,0.068,0.049,True,14359.9006211,8053.56247571
50,white,18,11305.58,8938.21,212,8.0,0.189,80,19,TAXAB,0.085,0.066,True,13940.2959309,7860.10594312
50,white,19,12177.19,9509.56,216,8.0,0.194,80,19,TAXAB,0.139,0.125,True,15108.1761787,8241.13598621
50,white,20,11099.5,8908.98,223,3.0,0.202,80,19,TAXAB,0.076,0.054,True,13909.1478697,7770.53735372
50,white,21,12136.33,8944.13,225,4.0,0.169,80,19,TAXAB,0.116,0.102,True,14604.488568,7760.17437677
50,white,22,12238.09,9460.11,243,3.0,0.202,80,19,TAXAB,0.115,0.091,True,15335.952381,8039.82588329
50,white,23,10527.14,8861.29,259,5.0,0.232,80,19,TAXAB,0.062,0.046,True,13707.2135417,7658.51421287
50,white,24,12189.14,9277.58,228,5.0,0.189,80,19,TAXAB,0.114,0.105,True,15029.7657213,7964.83532722
50,white,25,11835.0,9255.85,220,1.5,0.195,80,19,TAXAB,0.1,0.077,True,14701.863354,8017.17344806
50,white,26,11414.68,9318.69,214,1.5,0.164,80,19,TAXAB,0.084,0.065,True,13653.923445,8561.4675852
50,white,27,11419.42,9109.58,225,5.0,0.191,80,19,TAXAB,0.093,0.076,True,14115.4758962,8032.46296313
50,white,28,12333.99,9632.97,183,9.0,0.18,80,19,TAXAB,0.131,0.098,True,15041.4512195,8511.1341291
50,white,29,11998.09,8941.1,231,3.0,0.19,80,19,TAXAB,0.069,0.061,True,14812.4567901,7550.34486737
50,white,30,10926.36,9022.64,199,1.5,0.171,80,19,TAXAB,0.09,0.065,True,13180.1688782,8276.15242181
50,white,31,11498.49,9186.85,235,6.0,0.217,80,19,TAXAB,0.102,0.085,True,14685.1724138,7809.69180881
50,white,32,11232.96,9117.7,226,6.0,0.186,80,19,TAXAB,0.093,0.08,True,13799.7051597,8167.49622412
50,white,33,12227.16,9373.63,215,3.0,0.2,80,19,TAXAB,0.102,0.074,True,15283.95,7944.26514541
50,white,34,11000.5,8674.19,216,6.0,0.176,80,19,TAXAB,0.069,0.065,True,13350.1213592,7742.40642657
50,white,35,12670.68,9233.98,220,5.0,0.168,80,19,TAXAB,0.105,0.082,True,15229.1826923,7969.9267794
50,white,36,11079.82,9279.48,233,6.0,0.206,80,19,TAXAB,0.094,0.086,True,13954.4332494,8266.54144294
50,white,37,10944.71,9181.5,208,3.0,0.226,80,19,TAXAB,0.12,0.106,True,14140.4521964,7982.81994723
50,white,38,11591.39,9194.89,231,3.0,0.199,80,19,TAXAB,0.078,0.074,True,14471.1485643,7992.31821322
