,byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax
183,44,1,38,14603.26,10105.83,167,6.0,0.192,80,19,TAXAB,0.222,0.198
184,44,1,39,13501.74,10772.62,162,4.0,0.247,80,19,TAXAB,0.191,0.154
185,44,1,40,14164.12,10439.9,169,6.0,0.189,80,19,TAXAB,0.213,0.16
186,44,1,41,16060.23,10273.14,190,4.0,0.132,80,19,TAXAB,0.247,0.179
187,44,1,42,14032.59,10617.4,186,6.0,0.172,80,19,TAXAB,0.22,0.188
188,44,1,43,14370.93,10590.24,180,1.5,0.172,80,19,TAXAB,0.25,0.228
189,44,1,44,12701.11,9862.62,171,3.0,0.222,80,19,TAXAB,0.099,0.076
190,44,1,45,14736.62,10093.78,209,7.0,0.167,80,19,TAXAB,0.215,0.191
191,44,1,46,13841.14,10921.09,188,3.0,0.229,80,19,TAXAB,0.213,0.165
192,44,1,47,11870.32,10143.27,174,3.0,0.264,80,19,TAXAB,0.161,0.132
193,44,1,48,13989.66,9999.79,192,3.0,0.182,80,19,TAXAB,0.161,0.13
194,44,1,49,14165.54,10014.13,162,4.0,0.191,80,19,TAXAB,0.21,0.185
195,44,1,50,13834.69,10967.91,172,4.0,0.215,80,19,TAXAB,0.174,0.128
196,44,1,51,13023.13,10573.62,164,10.0,0.25,80,19,TAXAB,0.159,0.128
197,44,1,52,13527.17,10520.2,172,5.0,0.192,80,19,TAXAB,0.198,0.163
198,44,1,53,14709.68,10017.37,164,4.0,0.152,80,19,TAXAB,0.226,0.165
199,44,1,54,13329.24,10283.51,180,5.0,0.217,80,19,TAXAB,0.206,0.2
200,44,1,55,13574.88,9946.21,190,7.0,0.174,80,19,TAXAB,0.179,0.142
201,44,1,56,14348.43,10634.55,185,1.5,0.205,80,19,TAXAB,0.205,0.173
202,44,1,57,13200.09,9881.29,163,6.0,0.233,80,19,TAXAB,0.166,0.147
203,44,1,58,14342.65,10078.74,173,6.0,0.191,80,19,TAXAB,0.197,0.162
204,44,1,59,14924.02,9966.07,189,3.0,0.175,80,19,TAXAB,0.243,0.196
205,44,1,60,13746.02,11744.71,170,0.0,0.224,80,19,TAXAB,0.218,0.176
206,44,1,61,14006.51,9994.94,206,8.0,0.209,80,19,TAXAB,0.175,0.15
207,44,1,62,14525.51,10314.98,199,3.0,0.201,80,19,TAXAB,0.191,0.166
208,44,1,63,13262.28,10420.07,224,6.0,0.228,80,19,TAXAB,0.179,0.138
209,44,1,64,14142.78,10699.21,172,1.5,0.192,80,19,TAXAB,0.192,0.157
210,44,1,65,13766.41,10712.08,193,4.0,0.228,80,19,TAXAB,0.228,0.181
211,44,1,66,14528.91,10512.93,199,5.0,0.186,80,19,TAXAB,0.221,0.171
212,44,1,67,13586.61,10695.09,193,5.0,0.202,80,19,TAXAB,0.187,0.155
213,44,1,68,14193.26,10945.27,176,5.0,0.193,80,19,TAXAB,0.159,0.131
214,44,1,69,12312.82,10731.0,176,7.0,0.267,80,19,TAXAB,0.193,0.165
215,44,1,70,13218.72,10093.69,176,9.0,0.193,80,19,TAXAB,0.222,0.199
216,44,1,71,14862.74,10556.63,199,3.0,0.176,80,19,TAXAB,0.241,0.186
217,44,1,72,13351.76,10279.97,193,4.0,0.218,80,19,TAXAB,0.181,0.155
218,44,1,73,12857.38,9829.06,221,6.0,0.217,80,19,TAXAB,0.136,0.109
219,44,1,1,14804.64,11450.6,178,4.0,0.197,81,21,TAXAB,0.174,0.135
220,44,1,2,15720.26,11754.29,182,5.0,0.181,81,21,TAXAB,0.198,0.17
221,44,1,3,16386.61,11735.84,207,3.0,0.222,81,21,TAXAB,0.193,0.159
222,44,1,4,15546.6,11732.64,205,3.0,0.224,81,21,TAXAB,0.176,0.161
223,44,1,5,16613.33,11538.98,206,1.5,0.175,81,21,TAXAB,0.223,0.184
224,44,1,6,16031.71,11587.99,175,7.0,0.166,81,21,TAXAB,0.171,0.149
225,44,1,7,15194.27,12112.63,192,1.5,0.214,81,21,TAXAB,0.188,0.161
226,44,1,8,13583.28,11060.5,143,5.0,0.231,81,21,TAXAB,0.119,0.105
227,44,1,9,15464.45,11019.77,198,4.0,0.197,81,21,TAXAB,0.152,0.121
228,44,1,10,14226.32,12015.58,221,8.0,0.231,81,21,TAXAB,0.154,0.127
229,44,1,11,15298.22,11862.32,175,5.0,0.2,81,21,TAXAB,0.206,0.177
230,44,1,12,13453.92,11495.63,160,8.0,0.281,81,21,TAXAB,0.131,0.119
231,44,1,13,15847.43,11664.34,185,8.0,0.184,81,21,TAXAB,0.184,0.141
232,44,1,14,15627.09,11576.72,185,5.0,0.184,81,21,TAXAB,0.2,0.157
233,44,1,15,14539.69,11847.19,162,4.0,0.235,81,21,TAXAB,0.173,0.154
234,44,1,16,15222.21,11826.45,135,6.0,0.215,81,21,TAXAB,0.156,0.126
235,44,1,17,15790.5,11836.28,191,4.0,0.215,81,21,TAXAB,0.188,0.131
236,44,1,18,16381.24,12439.2,192,3.0,0.203,81,21,TAXAB,0.229,0.198
237,44,1,19,13718.18,11439.44,196,1.5,0.219,81,21,TAXAB,0.128,0.107
238,44,1,20,15073.41,12195.47,179,0.0,0.218,81,21,TAXAB,0.196,0.156
239,44,1,21,15427.83,12191.28,215,6.0,0.219,81,21,TAXAB,0.195,0.172
